text,label
hello,Good
hi there,Good
this is clean,Good
you suck,Bad
stupid idiot,Bad
wonderful day,Good
go to hell,Bad
have a nice day,Good
I love this,Good
You are amazing,Good
shut up,Bad
You're worthless,Bad
fantastic work,Good
you're a genius,Good
damn you,Bad
idiot loser,Bad
stay blessed,Good
nice to meet you,Good
go die,Bad
toxic trash,Bad
أنا أحب هذا,Good
يوم جميل,Good
كلامك راقي,Good
ربنا يوفقك,Good
أنت محترم,Good
انقلع من هنا,Bad
أنت غبي,Bad
قليل الأدب,Bad
كلامك سم,Bad
إنت حيوان,Bad
الله يرضى عليك,Good
تسلم إيدك,Good
ربنا يسعدك,Good
أنت فاشل,Bad
اسكت يا تافه,Bad
تف عليك,Bad
بحب أسلوبك,Good
حديث ممتع,Good
خليك محترم,Bad
كلامك غير مقبول,Bad
